"CT" "10" "20" "50" "100" "200" "500" "0" "AAL"
"27" "22051021300" 471.592350184917 2130.90197229385 2287.42735993862 25642.849899292 54363.5498962402 29600.4676437378 917.553635597229 596.950710140407
"28" "22051021400" 369.790072184056 1407.88458669186 1730.04368287325 17957.233921051 36012.583896637 19647.0673427582 608.569595456123 408.361199938309
"29" "22051021500" 687.813919618726 4225.70146250725 5207.56758546829 27653.5506401062 46965.2888412476 31372.6121864319 983.659427404404 732.696461645559
"30" "22051021600" 1328.36366730928 7490.20728063583 9602.9936003685 51172.8482971191 98815.9517364502 69580.0134429932 1946.34606170654 1408.30744425422
"31" "22051021700" 871.136558543891 3962.61901789904 5840.70727884769 42764.8978939056 89580.5955162048 60871.4583110809 1563.48687553406 1067.46362399225
"32" "22051021801" 577.322420597076 3019.63015937805 5400.23549175262 35693.8076629639 77612.5998764038 57618.5241394043 1384.74614548683 907.804719912052
"33" "22051021803" 811.300380405039 5015.38096874952 8225.72835969925 30429.7981405258 62711.6162548065 53089.0232563019 1296.64700216055 944.115801411714
"34" "22051021804" 275.196649363264 1835.53095983714 3231.52194130421 15347.0211396217 34577.9125528336 26872.6445465088 639.818972051144 438.654869031912
"35" "22051021900" 236.772236466408 1257.87611842155 2357.8357950449 9888.04347229004 21802.0055389404 20010.1073856354 422.075361728668 294.77457582581
"36" "22051022001" 1161.23537668213 7035.64514276385 13655.8634392619 45689.7023448944 94089.5236339569 92529.0467777252 1956.48661589622 1441.39839120197
"37" "22051022002" 481.546720296144 1912.36917662621 3257.92362856865 19042.5951690674 48483.6091270447 47531.8147506714 847.888052165508 561.743530046016
"38" "22051022101" 309.747163951397 1215.11294257641 2881.10041904449 12742.207736969 29313.412651062 33906.6167755127 586.20684504509 377.650338977516
"39" "22051022102" 733.459599912167 4299.56694805622 9051.72130680084 26254.7039794922 52872.1416778564 58221.5141296387 1155.49163389206 867.084711808145
"40" "22051022200" 468.62124902755 1951.99270606041 4870.52897548676 20422.7794876099 45093.7015266418 57589.9041786194 928.664239406586 607.136327509411
"41" "22051022301" 453.291352748871 1968.20492887497 5629.4985332489 21480.8453865051 44857.6023483276 59952.4982452393 964.847923517227 633.115948798656
"42" "22051022302" 284.423079311848 1426.31065693498 3965.56901633739 14749.7568898201 33450.3015460968 43709.4394607544 659.958294987679 453.462925636113
"43" "22051022303" 659.644789621234 3766.818551898 10620.3946738243 25267.081823349 42627.9279174805 56228.1777114868 1066.58430838585 823.928847205206
"44" "22051022400" 931.446339204907 3928.95827294886 9426.17720627785 34334.6548271179 82710.6021194458 102904.425952911 1598.49319750071 1111.67699213417
"45" "22051022500" 506.282534271479 2133.4382455349 5052.4923286438 21094.5036392212 52802.9133300781 63246.0726318359 984.434679985046 663.333979313284
"46" "22051022600" 795.00962657854 3348.70474618673 7171.3069319725 34858.2721443176 83272.5353927612 100866.420524597 1483.53238415718 1043.07638259171
"47" "22051022700" 620.236687019467 2539.23586690426 5235.21065139771 26268.3562850952 64085.7996292114 72357.3012313843 1138.78595352173 783.671387381747
"48" "22051022800" 507.526531279087 2211.71044254303 4151.89004516602 23020.3958129883 55612.7842102051 59982.2908630371 987.255065917969 669.271923619807
"49" "22051022900" 463.952413186431 1962.9228682518 3224.12582969666 21164.2366294861 50162.0100784302 50162.0100784302 865.556792855263 589.221071806178
"50" "22051023001" 329.035071797669 1367.02778577805 2129.72211647034 13096.0695114136 33506.3526916504 30848.9375686646 584.465442657471 384.020769010671
