CensusBlock     ReturnPeriodId TotalLoss
220710041002010 50             2651
220710041002010 100            2702
220710041002010 500            2819
220710041002012 10             546
220710041002012 25             921
220710041002012 50             972
220710041002012 100            1017
220710041002012 500            1036
220710041002013 10             427
220710041002013 25             1276
220710041002013 50             1334
220710041002013 100            1379
220710041002013 500            1418
220710041002014 10             433
220710041002014 500            853
220710041002014 25             994
220710041002014 50             1091
220710041002014 100            1146
220710041002015 10             435
220710041002015 500            529
220710041002015 25             840
220710041002015 50             925
220710041002015 100            933
220710041002016 10             532
220710041002016 25             957
220710041002016 50             999
220710041002016 100            1004
220710041002016 500            1112
220710041002017 25             622
220710041002017 50             642
220710041002017 100            727
220710041002017 500            788
220710044011000 10             655
220710044011000 25             655
220710044011000 50             702
220710044011000 100            716
220710044011001 10             411
220710044011001 25             411
220710044011001 50             434
220710044011001 100            438
220710044011003 10             328
220710044011003 25             328
220710044011003 50             348
220710044011003 100            352
220710044011006 10             404
220710044011006 25             404
220710044011006 50             421
220710044011006 100            426
220710044011007 10             164
220710044011007 25             164
220710044011007 50             180
220710044011007 100            184
220710044011008 10             224
220710044011008 25             224
220710044011008 50             237
220710044011008 100            242
220710044011011 10             524
220710044011011 25             524
220710044011011 50             560
220710044011011 100            570
220710044011012 10             10
220710044011012 25             10
220710044011012 50             12
220710044011012 100            14
220710044012001 10             402
220710044012001 25             402
220710044012001 50             444
220710044012001 100            448
220710044012003 10             57
220710044012003 25             57
220710044012003 100            64
220710044012003 50             64
220710044012005 10             413
220710044012005 25             413
220710044012005 50             453
220710044012005 100            478
220710044012007 10             416
220710044012007 25             416
220710044012007 50             430
220710044012007 100            440
220710044012009 10             741
220710044012009 25             741
220710044012009 50             841
220710044012009 100            923
220710044012010 10             338
220710044012010 25             338
220710044013000 10             515
220710044013000 25             515
220710044013000 50             528
220710044013000 100            533
220710044013001 10             539
220710044013001 25             539
220710044013001 50             560
220710044013001 100            567
220710044013002 10             1014
220710044013002 25             1014
220710044013002 50             1052
220710044013002 100            1066
220710044013003 10             416
220710044013003 25             416
220710044013003 50             428
220710044013003 100            434
220710044013004 10             1311
220710044013004 25             1311
220710044013004 50             1379
220710044013004 100            1413
220710044013013 10             249
220710044013013 25             249
220710044013013 50             297
220710044013013 100            321
220710044013014 10             198
220710044013014 25             198
220710044013014 50             211
220710044013014 100            243
220710044021002 10             31
220710044021002 25             31
220710044021002 100            40
220710044021002 50             43
220710044021004 10             15
220710044021004 25             15
220710044021004 50             18
220710044021004 100            19
220710044022002 10             62
220710044022002 25             62
220710044022002 50             69
220710044022002 100            80
220710044022004 10             30
220710044022004 25             30
220710044022004 50             31
220710044022004 100            32
220710044022012 10             9
220710044022012 25             9
220710044022012 50             9
220710044022012 100            11
220710045001000 10             334
220710045001000 25             334
220710045001000 50             362
220710045001000 100            363
220710045001001 10             514
220710045001001 25             514
220710045001001 50             537
220710045001001 100            546
220710045001004 10             419
220710045001004 25             419
220710045001004 50             460
220710045001004 100            470
220710045001006 10             742
220710045001006 25             742
220710045001006 50             782
220710045001006 100            791
220710045001008 10             616
220710045001008 25             616
220710045001008 50             661
220710045001008 100            671
220710045001011 10             412
220710045001011 25             412
220710045001011 50             424
220710045001011 100            427
220710045001015 10             120
220710045001015 25             120
220710045001015 50             129
220710045001015 100            134
220710045002000 10             451
220710045002000 25             451
220710045002000 50             464
220710045002000 100            467
220710045002002 10             592
220710045002002 25             592
220710045002002 50             658
220710045002002 100            667
220710045002004 10             504
220710045002004 25             504
220710045002004 50             546
220710045002004 100            552
220710045002005 500            157
220710045002005 10             622
220710045002005 25             735
220710045002005 50             754
220710045002005 100            760
220710045002007 25             285
220710045002007 100            303
220710045002007 50             303
220710045002007 500            303
220710045002008 100            20
220710045002008 25             20
220710045002008 50             20
220710045002008 500            20
220710045002009 100            211
220710045002009 25             211
220710045002009 50             211
220710045002009 500            252
220710045002014 25             444
220710045002014 50             444
220710045002014 100            462
220710045002014 500            478
220710045002015 10             399
220710045002015 500            599
220710045002015 25             724
220710045002015 50             749
220710045002015 100            750
220710045002016 100            293
220710045002016 25             293
220710045002016 50             293
220710045002016 500            307
220710045002017 500            158
220710045002017 10             248
220710045002017 25             380
220710045002017 50             391
220710045002017 100            399
220710045002022 500            91
220710045002022 10             464
220710045002022 25             516
220710045002022 50             561
220710045002022 100            570
220710045002023 25             50
220710045002023 100            76
220710045002023 50             76
220710045002023 500            76
220710045003002 10             491
220710045003002 25             2277
220710045003002 50             2294
220710045003002 100            2346
220710045003002 500            2392
220710045003003 10             536
220710045003003 25             1725
220710045003003 50             1762
220710045003003 100            1797
220710045003003 500            1833
220710045003004 10             579
220710045003004 500            615
220710045003004 25             955
220710045003004 50             1016
220710045003004 100            1059
220710045003005 10             684
220710045003005 500            1875
220710045003005 25             2219
220710045003005 50             2339
220710045003005 100            2399
220710045003006 25             935
220710045003006 50             947
220710045003006 100            971
220710045003006 500            996
220710045003007 10             713
220710045003007 25             2844
220710045003007 50             2929
220710045003007 100            2995
220710045003007 500            3126
220710045003010 10             517
220710045003010 500            626
220710045003010 25             863
220710045003010 50             885
220710045003010 100            887
220710045003011 10             486
220710045003011 25             1179
220710045003011 50             1191
220710045003011 100            1207
220710045003011 500            1262
220710045003012 25             413
220710045003012 100            420
220710045003012 50             420
220710045003012 500            444
220710045003013 100            40
220710045003013 25             40
220710045003013 50             40
220710045003013 500            40
220710045003016 100            210
220710045003016 25             210
220710045003016 50             210
220710045003016 500            215
220710045003017 100            219
220710045003017 25             219
220710045003017 50             219
220710045003017 500            254
220710045003020 25             84
220710045003020 50             84
220710045003020 100            105
220710045003020 500            105
220710045003021 10             753
220710045003021 25             1422
220710045003021 50             1422
220710045003021 100            1447
220710045003021 500            1467
220710045003022 25             2448
220710045003022 50             2511
220710045003022 100            2533
220710045003022 500            2554
220710045003023 25             852
220710045003023 100            862
220710045003023 50             862
220710045003023 500            959
220710045003025 10             669
220710045003025 25             3819
220710045003025 50             3823
220710045003025 100            3865
220710045003025 500            3976
220710045003026 10             631
220710045003026 500            1265
220710045003026 25             1388
220710045003026 50             1421
220710045003026 100            1438
220710045003028 25             1314
220710045003028 50             1314
220710045003028 100            1344
220710045003028 500            1395
220710045003029 25             17
220710045003029 100            21
220710045003029 50             21
220710045003029 500            21
220710046001000 25             52
220710046001000 50             52
220710046001000 100            59
220710046001000 500            61
220710046001013 10             461
220710046001013 25             461
220710046001013 100            524
220710046001013 500            540
220710046001017 10             268
220710046001017 500            501
220710046001017 25             563
220710046001017 50             587
220710046001017 100            627
220710046001018 10             288
220710046001018 25             288
220710046001018 50             332
220710046001018 100            339
220710046001018 500            365
220710046001020 10             783
220710046001020 25             783
220710046001020 50             902
220710046001020 100            939
220710046001020 500            967
220710046001021 100            349
220710046001021 25             349
220710046001021 50             349
220710046001021 500            349
220710046002008 10             559
220710046002008 25             2048
220710046002008 500            2156
220710046002008 50             2219
220710046002008 100            2238
220710046002009 100            394
220710046002009 25             394
220710046002009 50             394
220710046002009 500            394
220710046002010 10             410
220710046002010 25             709
220710046002010 50             711
220710046002010 500            749
220710046002010 100            750
220710046002011 10             383
220710046002011 25             2205
220710046002011 50             2341
220710046002011 100            2477
220710046002011 500            2621
220710046002013 100            51
220710046002013 25             51
220710046002013 50             51
220710046002013 500            51
220710046002014 100            125
220710046002014 25             125
220710046002014 50             125
220710046002014 500            125
220710046002015 500            623
220710046002015 10             668
220710046002015 25             1079
220710046002015 50             1159
220710046002015 100            1194
220710046002016 25             2258
220710046002016 50             2286
220710046002016 100            2305
220710046002016 500            2359
220710046002017 10             1144
220710046002017 25             2655
220710046002017 50             2718
220710046002017 100            2719
220710046002017 500            2757
220710046002018 25             3598
220710046002018 50             3717
220710046002018 100            3776
220710046002018 500            3809
220710046002019 500            516
220710046002019 10             881
220710046002019 25             1171
220710046002019 50             1220
220710046002019 100            1264
220710046002024 10             443
220710046002024 25             443
220710046002024 50             472
220710046002024 100            477
220710046002024 500            483
220710046002026 10             786
220710046002026 25             786
220710046002026 50             841
220710046002026 100            854
220710046002026 500            872
220710046002029 10             863
220710046002029 25             863
220710046002029 50             885
220710046002030 50             64
220710046002031 10             791
220710046002031 25             3062
220710046002031 100            3094
220710046002031 50             3094
220710046002031 500            3209
220710046002032 10             733
220710046002032 25             3078
220710046002032 50             3210
220710046002032 100            3265
220710046002032 500            3265
220710046002033 25             2685
220710046002033 50             2784
220710046002033 100            2818
220710046002033 500            3015
220710046002037 25             882
220710046002037 100            895
220710046002037 50             895
220710046002037 500            912
220710046002038 10             485
220710046002038 25             2216
220710046002038 50             2285
220710046002038 100            2300
220710046002038 500            2333
220710046003001 10             306
220710046003001 25             306
220710046003001 100            365
220710046003001 500            372
220710046003008 10             554
220710046003008 25             554
220710046003008 50             615
220710046003008 100            623
220710046003008 500            670
220710046003012 10             216
220710046003012 25             216
220710046003012 50             235
220710046003012 100            237
220710046003012 500            241
220710046003014 10             533
220710046003014 25             533
220710046003014 50             575
220710046003014 100            579
220710046003014 500            583
220710046003019 10             431
220710046003019 25             431
220710046003019 50             442
220710046003019 100            467
220710046003019 500            482
220710046003020 100            99
220710046003020 25             99
220710046003020 50             99
220710046003020 500            139
220710046003022 10             81
220710046003022 25             81
220710046003022 50             85
220710046003022 100            94
220710046003022 500            96
220710046003025 10             901
220710046003025 25             1586
220710046003025 50             1633
220710046003025 100            1732
220710046003025 500            1756
220710046003026 10             81
220710046003026 25             81
220710046003026 50             87
220710046003026 100            99
220710046003026 500            103
220710048001001 10             32
220710048001001 25             32
220710048001001 50             47
220710048001003 10             1093
220710048001003 25             1093
220710048001003 50             1334
220710048001003 100            1469
220710048001007 10             1299
220710048001007 25             1299
220710048001007 50             1546
220710048001007 100            1609
220710048001011 10             709
220710048001011 25             709
220710048001011 50             982
220710048001011 100            1054
220710048001012 10             793
220710048001012 25             793
220710048001012 50             963
220710048001012 100            1047
220710049001002 10             1407
220710049001002 25             1407
220710049001002 50             1618
220710049001002 100            1671
220710049001004 10             406
220710049001004 25             406
220710049001004 50             446
220710049001004 100            469
220710049001005 10             64
220710049001005 25             64
220710049001005 100            68
220710049001005 50             68
220710049001010 10             251
220710049001010 25             251
220710049001010 50             281
220710049001010 100            283
220710049001013 10             282
220710049001013 25             282
220710049001013 50             310
220710049001013 100            314
220710049001015 10             387
220710049001015 25             387
220710049001015 50             441
220710049001015 100            454
220710049002000 10             479
220710049002000 25             479
220710049002000 50             497
220710049002000 100            500
220710049002003 10             263
220710049002003 25             263
220710049002003 50             274
220710049002003 100            276
220710049002006 10             341
220710049002006 25             341
220710049002006 50             376
220710049002006 100            381
220710049002008 10             280
220710049002008 25             280
220710049002008 50             290
220710049002008 100            291
220710049002011 10             531
220710049002011 25             531
220710049002011 50             601
220710049002011 100            629
220710049002012 10             361
220710049002012 25             361
220710049002012 50             410
220710049002012 100            449
220710049002015 10             313
220710049002015 25             313
220710049002015 100            322
220710049002016 10             1100
220710049002016 25             1100
220710049002016 50             1263
220710049002016 100            1447
220710049002024 10             969
220710049002024 25             969
220710049002024 50             1051
220710049002024 100            1083
220710049002034 50             708
220710049002034 100            732
220710049002036 10             92
220710049002036 25             92
220710049002036 50             97
220710049002036 100            98
220710049002037 10             2142
220710049002037 25             2142
220710049002037 50             2306
220710049002037 100            2527
220710049002048 10             132
220710049002048 25             132
220710049002048 50             159
220710049002048 100            168
220710049003000 10             225
220710049003000 25             225
220710049003003 10             877
220710049003003 25             877
220710049003003 50             1006
220710049003003 100            1034
220710049003004 10             355
220710049003004 25             355
220710049003004 50             414
220710049003004 100            422
220710049003006 10             430
220710049003006 25             430
220710049003006 50             457
220710049003006 100            465
220710049003010 10             244
220710049003010 25             244
220710049003010 50             283
220710049003010 100            295
220710049003015 10             359
220710049003015 25             359
220710049003016 10             377
220710049003016 25             377
220710049003016 50             477
220710049003016 100            494
220710049003018 10             548
220710049003018 25             548
220710049003018 50             626
220710049003018 100            681
220710049003023 10             420
220710049003023 25             420
220710049003023 50             516
220710049003023 100            590
220710049003025 10             194
220710049003025 25             194
220710049003025 50             270
220710049003025 100            278
220710049003029 10             258
220710049003029 25             258
220710049003029 50             341
220710049003029 100            375
220710049003035 50             116
220710049003035 100            120
220710049003044 10             2173
220710049003044 25             2173
220710049003044 50             2697
220710049003044 100            2775
220710049004000 10             587
220710049004000 25             587
220710049004000 50             692
220710049004000 100            715
220710049004002 10             519
220710049004002 25             519
220710049004002 50             611
220710049004002 100            628
220710049004003 10             642
220710049004003 25             642
220710049004003 50             688
220710049004003 100            700
220710049004004 10             317
220710049004004 25             317
220710049004004 50             343
220710049004004 100            349
220710049004006 10             753
220710049004006 25             753
220710049004006 50             800
220710049004006 100            821
220710049004012 10             773
220710049004012 25             773
220710049004012 50             788
220710049004012 100            795
220710049004013 10             1750
220710049004013 25             1750
220710049004013 50             2038
220710049004013 100            2116
220710049004017 10             384
220710049004017 25             384
220710049004017 50             428
220710049004017 100            433
220710050001000 10             53
220710050001000 25             53
220710050001000 50             56
220710050001000 100            67
220710050001000 500            69
220710050001003 10             849
220710050001003 25             2426
220710050001003 50             2563
220710050001003 100            2587
220710050001003 500            2623
220710050001004 10             510
220710050001004 25             510
220710050001004 50             527
220710050001004 100            602
220710050001004 500            625
220710050001006 25             300
220710050001006 50             363
220710050001006 100            383
220710050001006 500            395
220710050001008 10             122
220710050001008 25             1093
220710050001008 50             1145
220710050001008 100            1160
220710050001008 500            1172
220710050001011 10             570
220710050001011 25             2014
220710050001011 50             2030
220710050001011 100            2172
220710050001011 500            2295
220710050001012 25             1015
220710050001012 50             1074
220710050001012 100            1102
220710050001012 500            1102
220710050001013 10             1153
220710050001013 25             7641
220710050001013 50             7762
220710050001013 100            7803
220710050001013 500            7933
220710050001014 100            1125
220710050001014 25             1125
220710050001014 50             1125
220710050001014 500            1125
220710050001015 10             247
220710050001015 25             679
220710050001015 50             689
220710050001015 100            695
220710050001015 500            728
220710050001016 25             2317
220710050001016 100            2351
220710050001016 50             2351
220710050001016 500            2418
220710050001017 25             1663
220710050001017 50             1682
220710050001017 100            1712
220710050001017 500            1779
220710050001018 10             1966
220710050001018 25             22516
220710050001018 50             22798
220710050001018 100            23236
220710050001018 500            23269
220710050001019 25             2496
220710050001019 100            2512
220710050001019 50             2512
220710050001019 500            2655
220710050001020 10             734
220710050001020 25             4891
220710050001020 50             4923
220710050001020 100            5029
220710050001020 500            5180
220710050001021 25             2041
220710050001021 50             2077
220710050001021 100            2128
220710050001021 500            2144
220710050001022 10             368
220710050001022 25             1623
220710050001022 50             1623
220710050001022 100            1672
220710050001022 500            1699
220710050001023 10             648
220710050001023 25             3481
220710050001023 50             3486
220710050001023 100            3553
220710050001023 500            3637
220710050001024 10             571
220710050001024 25             2576
220710050001024 50             2638
220710050001024 100            2672
220710050001024 500            2870
220710050001029 10             813
220710050001029 25             5597
220710050001029 500            5610
220710050001029 50             5679
220710050001029 100            5784
220710050001032 25             7742
220710050001032 100            7784
220710050001032 50             7784
220710050001032 500            7887
220710050001033 10             446
220710050001033 500            2220
220710050001033 25             2245
220710050001033 50             2317
220710050001033 100            2342
220710050001035 25             7894
220710050001035 50             7965
220710050001035 100            8032
220710050001035 500            8207
220710050002000 25             5
220710050002000 100            6
220710050002000 50             6
220710050002000 500            6
220710050002001 500            215
220710050002001 10             233
220710050002001 25             392
220710050002001 50             404
220710050002001 100            418
220710050002002 500            183
220710050002002 10             466
220710050002002 25             590
220710050002002 50             614
220710050002002 100            618
220710050002006 500            441
220710050002006 10             557
220710050002006 25             894
220710050002006 50             949
220710050002006 100            998
220710050002007 10             839
220710050002007 25             839
220710050002007 50             883
220710050002007 100            892
220710050002009 10             295
220710050002009 25             295
220710050002009 50             304
220710050002009 100            307
220710050002011 10             424
220710050002011 25             424
220710050002011 50             443
220710050002011 100            451
220710050002013 10             455
220710050002013 25             455
220710050002013 50             579
220710050002013 100            604
220710050002020 10             582
220710050002020 25             582
220710050002020 50             606
220710050002020 100            615
220710050002021 10             246
220710050002021 25             246
220710050002021 50             278
220710050002021 100            288
220710050002022 10             418
220710050002022 25             418
220710050002022 50             488
220710050002022 100            504
220710050002026 10             292
220710050002026 25             292
220710050002026 50             306
220710050002026 100            309
220710050002028 10             250
220710050002028 25             250
220710050002028 50             304
220710050002028 100            314
220710050002033 10             507
220710050002033 25             507
220710050002033 50             593
220710050002033 100            614
220710054001001 50             917
220710054001005 10             21
220710054001005 25             21
220710054001005 100            25
220710054001005 50             25
220710054001005 500            28
220710054001010 10             320
220710054001010 25             320
220710054001010 50             383
220710054001010 100            403
220710054001010 500            423
220710054001013 10             175
220710054001013 25             175
220710054001013 50             224
220710054001013 100            230
220710054001013 500            252
220710054001015 10             458
220710054001015 25             458
220710054001015 50             496
220710054001015 100            503
220710054001015 500            512
220710054001017 10             430
220710054001017 25             430
220710054001017 50             468
220710054001017 100            471
220710054001017 500            485
220710054001018 10             297
220710054001018 25             297
220710054001018 50             334
220710054001018 100            339
220710054001018 500            365
220710054001021 10             507
220710054001021 25             507
220710054001021 50             574
220710054001021 100            588
220710054001021 500            644
220710054001022 10             54
220710054001022 25             54
220710054001022 50             59
220710054001022 100            69
220710054001022 500            71
220710054001029 10             395
220710054001029 25             395
220710054001029 50             427
220710054001029 100            434
220710054001029 500            440
220710054002000 10             580
220710054002000 25             580
220710054002000 50             636
220710054002000 100            655
220710054002000 500            686
220710054002002 10             184
220710054002002 25             184
220710054002002 50             198
220710054002002 100            200
220710054002002 500            202
220710054002010 10             589
220710054002010 25             589
220710054002010 50             626
220710054002010 100            678
220710054002010 500            703
220710054002011 10             1349
220710054002011 25             1349
220710054002011 50             1498
220710054002011 100            1582
220710054002011 500            1609
220710054002013 10             531
220710054002013 25             531
220710054002013 50             549
220710054002013 100            555
220710054002013 500            563
220710054002014 10             503
220710054002014 25             503
220710054002014 50             522
220710054002014 100            527
220710054002014 500            534
220710054002016 10             418
220710054002016 25             418
220710054002016 50             433
220710054002016 100            445
220710054002016 500            454
220710054002017 10             502
220710054002017 25             502
220710054002017 50             530
220710054002017 100            533
220710054002017 500            540
220710054002018 10             364
220710054002018 25             364
220710054002018 50             381
220710054002018 100            408
220710054002018 500            421
220710054003002 10             445
220710054003002 25             935
220710054003002 50             987
220710054003002 100            1021
220710054003002 500            1063
220710054003003 100            151
220710054003003 25             151
220710054003003 50             151
220710054003003 500            171
220710054003005 10             524
220710054003005 25             1232
220710054003005 50             1267
220710054003005 100            1325
220710054003005 500            1343
220710054003006 10             297
220710054003006 25             312
220710054003006 50             322
220710054003006 100            332
220710054003006 500            340
220710054003009 10             72
220710054003009 25             72
220710054003009 50             80
220710054003009 100            84
220710054003009 500            100
220710054003010 100            132
220710054003010 25             132
220710054003010 50             132
220710054003010 500            132
220710054003016 25             629
220710054003016 50             629
220710054003016 100            657
220710054003016 500            657
220710054003019 25             3648
220710054003019 50             3924
220710054003019 100            4050
220710054003019 500            4121
220710054003023 10             547
220710054003023 25             547
220710054003023 50             577
220710054003023 100            667
220710054003023 500            690
220710054003025 10             2269
220710054003025 25             18226
220710054003025 50             18498
220710054003025 100            18964
220710054003025 500            19279
220710054003032 10             301
220710054003032 25             3217
220710054003032 50             3249
220710054003032 100            3276
220710054003032 500            3307
220710054003036 10             628
220710054003036 25             628
220710054003036 50             667
220710054003036 100            744
220710054003036 500            770
220710054003037 10             351
220710054003037 25             351
220710054003037 50             360
220710054003037 100            362
220710054003037 500            366
220710054003043 10             707
220710054003043 25             707
220710054003043 50             737
220710054003043 100            815
220710054003043 500            836
220710054003045 10             78
220710054003045 25             78
220710054003045 50             79
220710054003045 100            80
220710054003045 500            80
220710055001001 10             944
220710055001001 25             944
220710055001001 50             969
220710055001001 100            982
220710055001001 500            994
220710055001003 10             397
220710055001003 25             397
220710055001003 50             400
220710055001003 100            403
220710055001003 500            407
220710055001004 10             130
220710055001004 25             130
220710055001004 50             269
220710055001004 100            285
220710055001004 500            305
220710055001006 10             149
220710055001006 25             149
220710055001006 50             151
220710055001006 100            152
220710055001006 500            153
220710055001008 10             736
220710055001008 25             736
220710055001008 50             747
220710055001008 100            750
220710055001008 500            758
220710055001011 10             734
220710055001011 25             734
220710055001011 50             797
220710055001011 100            807
220710055001011 500            824
220710055001012 10             659
220710055001012 25             659
220710055001012 50             667
220710055001012 100            669
220710055001012 500            675
220710055001013 10             514
220710055001013 25             514
220710055001013 50             522
220710055001013 100            524
220710055001013 500            529
220710055001016 10             429
220710055001016 25             429
220710055001016 50             433
220710055001016 100            437
220710055001016 500            442
220710055001017 10             457
220710055001017 25             457
220710055001017 50             464
220710055001017 100            465
220710055001017 500            470
220710055001020 10             615
220710055001020 25             615
220710055001020 50             629
220710055001020 100            632
220710055001020 500            640
220710055001021 10             445
220710055001021 25             445
220710055001021 50             452
220710055001021 100            455
220710055001021 500            460
220710055001023 10             461
220710055001023 25             461
220710055001023 50             485
220710055001023 100            489
220710055001023 500            498
220710055001027 10             541
220710055001027 25             541
220710055001027 50             556
220710055001027 100            565
220710055001027 500            573
220710055002000 10             675
220710055002000 25             675
220710055002000 50             741
220710055002000 100            809
220710055002000 500            927
220710055002002 10             236
220710055002002 25             236
220710055002002 50             238
220710055002002 100            239
220710055002002 500            241
220710055002003 10             320
220710055002003 25             320
220710055002003 100            326
220710055002003 50             326
220710055002003 500            331
220710055002005 10             431
220710055002005 25             431
220710055002005 50             454
220710055002005 100            455
220710055002005 500            460
220710055002006 10             283
220710055002006 25             283
220710055002006 50             372
220710055002006 100            405
220710055002006 500            432
220710055002010 10             284
220710055002010 25             284
220710055002010 50             302
220710055002010 100            331
220710055002010 500            343
220710055002039 10             315
220710055002039 25             315
220710055002039 50             321
220710055002039 100            322
220710055002039 500            326
220710055002041 10             284
220710055002041 25             284
220710055002041 100            290
220710055002041 50             290
220710055002041 500            295
220710055002042 10             422
220710055002042 25             422
220710055002042 50             429
220710055002042 100            433
220710055002042 500            436
220710055002043 10             59
220710055002043 25             59
220710055002043 100            60
220710055002043 50             60
220710055002043 500            61
220710055002044 10             349
220710055002044 25             349
220710055002044 50             352
220710055002044 100            357
220710055002044 500            359
220710055002045 10             303
220710055002045 25             303
220710055002045 50             312
220710055002045 100            313
220710055002045 500            316
220710055002046 50             53
220710055002047 10             352
220710055002047 25             352
220710055002047 50             413
220710055002047 100            429
220710055002047 500            453
220710055002064 50             244
220710055002067 10             334
220710055002067 25             334
220710055002067 50             338
220710055002067 100            343
220710055002067 500            346
220710055003004 10             12
220710055003004 25             12
220710055003004 100            15
220710055003004 50             15
220710055003004 500            16
220710055003005 10             140
220710055003005 25             140
220710055003005 50             144
220710055003005 100            145
220710055003005 500            147
220710055003006 10             143
220710055003006 25             143
220710055003006 100            145
220710055003006 50             145
220710055003006 500            147
220710055003013 10             95
220710055003013 25             95
220710055003013 100            98
220710055003013 50             98
220710055003013 500            100
220710055003016 10             384
220710055003016 25             384
220710055003016 50             389
220710055003016 100            391
220710055003016 500            395
220710055003017 10             510
220710055003017 25             510
220710055003017 50             517
220710055003017 100            520
220710055003017 500            523
220710055003018 10             538
220710055003018 25             538
220710055003018 50             551
220710055003018 100            561
220710055003018 500            568
220710055003021 10             507
220710055003021 25             507
220710055003021 50             520
220710055003021 100            524
220710055003021 500            531
220710055003023 10             224
220710055003023 25             224
220710055003023 50             227
220710055003023 100            228
220710055003023 500            230
220710055003025 10             251
220710055003025 25             251
220710055003025 50             266
220710055003025 100            270
220710055003025 500            277
220710056011002 10             582
220710056011002 25             582
220710056011002 50             617
220710056011002 100            628
220710056011002 500            658
220710056011003 10             333
220710056011003 25             333
220710056011003 50             352
220710056011003 100            363
220710056011003 500            380
220710056011008 10             609
220710056011008 25             609
220710056011008 50             628
220710056011008 100            641
220710056011008 500            658
220710056011010 10             291
220710056011010 25             291
220710056011010 50             305
220710056011010 100            315
220710056011010 500            327
220710056011011 10             437
220710056011011 25             437
220710056011011 50             443
220710056011011 100            445
220710056011011 500            452
220710056011012 10             430
220710056011012 25             430
220710056011012 50             438
220710056011012 100            440
220710056011012 500            446
220710056011016 10             247
220710056011016 25             247
220710056011016 50             250
220710056011016 100            251
220710056011016 500            254
220710056011017 10             247
220710056011017 25             247
220710056011017 50             249
220710056011017 100            250
220710056011017 500            254
220710056011019 10             229
220710056011019 25             229
220710056011019 50             230
220710056011019 100            232
220710056011019 500            234
220710056011020 10             315
220710056011020 25             315
220710056011020 50             318
220710056011020 100            321
220710056011020 500            324
220710056011022 10             310
220710056011022 25             310
220710056011022 50             314
220710056011022 100            316
220710056011022 500            319
220710056011026 10             286
220710056011026 25             286
220710056011026 50             289
220710056011026 100            290
220710056011026 500            293
220710056011027 10             331
220710056011027 25             331
220710056011027 50             335
220710056011027 100            337
220710056011027 500            339
220710056011028 10             258
220710056011028 25             258
220710056011028 100            264
220710056011028 50             264
220710056011028 500            267
220710056012000 10             452
220710056012000 25             452
220710056012000 50             457
220710056012000 100            459
220710056012000 500            464
220710056012001 10             470
220710056012001 25             470
220710056012001 50             475
220710056012001 100            477
220710056012001 500            481
220710056012003 10             526
220710056012003 25             526
220710056012003 50             531
220710056012003 100            534
220710056012003 500            538
220710056012007 10             268
220710056012007 25             268
220710056012007 50             271
220710056012007 100            272
220710056012007 500            274
220710056012009 10             370
220710056012009 25             370
220710056012009 50             376
220710056012009 100            381
220710056012009 500            384
220710056012010 10             266
220710056012010 25             266
220710056012010 50             268
220710056012010 100            270
220710056012010 500            272
220710056012011 10             681
220710056012011 25             681
220710056012011 50             692
220710056012011 100            694
220710056012011 500            702
220710056012012 10             573
220710056012012 25             573
220710056012012 50             579
220710056012012 100            582
220710056012012 500            587
220710056012013 10             333
220710056012013 25             333
220710056012013 50             343
220710056012013 100            347
220710056012013 500            355
220710056012014 10             234
220710056012014 25             234
220710056012014 50             236
220710056012014 100            237
220710056012014 500            240
220710056012020 10             17
220710056012020 25             17
220710056012020 100            18
220710056012020 50             18
220710056012020 500            19
220710056012022 10             338
220710056012022 25             338
220710056012022 50             343
220710056012022 100            345
