CensusBlock     ReturnPeriodId TotalLoss
220710006023019 10             315
220710006023019 25             315
220710006023019 50             342
220710006023019 100            346
220710006023020 10             177
220710006023020 25             177
220710006023020 50             182
220710006023020 100            185
220710006023021 10             128
220710006023021 25             128
220710006023021 50             143
220710006023021 100            153
220710006031002 10             943
220710006031002 25             943
220710006031002 50             1001
220710006031002 100            1018
220710006031002 500            1057
220710006031003 500            883
220710006031003 10             1453
220710006031003 25             1453
220710006031003 50             1700
220710006031003 100            1743
220710006031005 10             1599
220710006031005 25             1599
220710006031005 50             1639
220710006031005 100            1662
220710006031009 10             601
220710006031009 25             601
220710006031009 50             616
220710006031009 100            621
220710006031013 10             37
220710006031013 25             37
220710006031013 100            39
220710006031013 50             39
220710006031015 10             39
220710006031015 25             39
220710006031015 50             40
220710006031015 100            41
220710006031018 10             6
220710006031018 100            6
220710006031018 25             6
220710006031018 50             6
220710006031018 500            6
220710006031019 500            143
220710006031019 10             424
220710006031019 25             424
220710006031019 50             446
220710006031019 100            454
220710006032003 10             106
220710006032003 25             106
220710006032003 100            108
220710006032003 50             108
220710006032005 10             868
220710006032005 25             868
220710006032005 50             897
220710006032005 100            902
220710006032007 10             448
220710006032007 25             448
220710006032007 50             455
220710006032007 100            460
220710006032009 10             66
220710006032009 25             66
220710006032009 50             72
220710006032009 100            74
220710006032010 10             491
220710006032010 25             491
220710006032010 50             511
220710006032010 100            516
220710006032012 10             725
220710006032012 25             725
220710006032012 50             740
220710006032012 100            747
220710006032013 10             124
220710006032013 25             124
220710006032013 50             129
220710006032013 100            130
220710006032014 10             86
220710006032014 25             86
220710006032014 50             92
220710006032014 100            94
220710006032015 10             287
220710006032015 25             287
220710006032015 50             298
220710006032015 100            300
220710006041002 10             117
220710006041002 25             117
220710006041002 50             154
220710006041002 100            157
220710006041003 10             868
220710006041003 25             868
220710006041003 50             981
220710006041003 100            1003
220710006041004 10             695
220710006041004 25             695
220710006041004 50             801
220710006041004 100            813
220710006041006 10             228
220710006041006 25             228
220710006041006 50             277
220710006041006 100            292
220710006041007 10             200
220710006041007 25             200
220710006041007 50             243
220710006041007 100            258
220710006041009 10             295
220710006041009 25             295
220710006041009 50             339
220710006041009 100            343
220710006041010 10             247
220710006041010 25             247
220710006041010 50             283
220710006041010 100            284
220710006041014 10             1122
220710006041014 25             1122
220710006041014 50             1380
220710006041014 100            1423
220710006041015 10             260
220710006041015 25             260
220710006041015 50             328
220710006041015 100            330
220710006041016 10             129
220710006041016 25             129
220710006041016 50             144
220710006041016 100            145
220710006041017 10             176
220710006041017 25             176
220710006041017 50             197
220710006041017 100            199
220710006041019 10             354
220710006041019 25             354
220710006041019 50             379
220710006041019 100            383
220710006041020 10             146
220710006041020 25             146
220710006041020 50             148
220710006041020 100            150
220710006041022 10             587
220710006041022 25             587
220710006041022 50             636
220710006041022 100            643
220710006041024 10             289
220710006041024 25             289
220710006041024 50             325
220710006041024 100            362
220710006041025 10             164
220710006041025 25             164
220710006041025 50             185
220710006041025 100            193
220710006041026 10             224
220710006041026 25             224
220710006041026 50             240
220710006041026 100            243
220710006042000 10             271
220710006042000 25             271
220710006042000 50             293
220710006042000 100            298
220710006042001 10             30
220710006042001 25             30
220710006042001 50             33
220710006042001 100            34
220710006042002 10             417
220710006042002 25             417
220710006042002 50             470
220710006042002 100            485
220710006042005 10             45
220710006042005 25             45
220710006042005 50             49
220710006042005 100            50
220710006042010 10             1871
220710006042010 25             1871
220710006042010 50             2010
220710006042010 100            2043
220710006042011 10             115
220710006042011 25             115
220710006042011 50             127
220710006042011 100            128
220710006042017 10             760
220710006042017 25             760
220710006042017 50             782
220710006042017 100            787
220710006042019 10             65
220710006042019 25             65
220710006042019 50             67
220710006042019 100            68
220710006042020 10             180
220710006042020 25             180
220710006042020 50             189
220710006042020 100            199
220710006042021 10             430
220710006042021 25             430
220710006042021 50             462
220710006042021 100            483
220710006042023 10             697
220710006042023 25             697
220710006042023 50             712
220710006042023 100            799
220710006042026 10             95
220710006042026 25             95
220710006042026 50             100
220710006042026 100            102
220710006042026 500            108
220710006042028 10             16
220710006042028 25             16
220710006042028 50             19
220710006042028 100            20
220710006042028 500            22
220710006042029 10             444
220710006042029 25             444
220710006042029 50             456
220710006042029 100            473
220710006042029 500            486
220710006042031 10             244
220710006042031 25             244
220710006042031 50             250
220710006042031 100            281
220710006042034 10             81
220710006042034 25             81
220710006042034 100            87
220710006042034 500            88
220710006042034 50             186
220710006042035 10             71
220710006042035 25             71
220710006042035 50             74
220710006042035 100            75
220710006042035 500            76
220710006042037 10             668
220710006042037 25             668
220710006042037 50             742
220710006042037 100            760
220710006042037 500            791
220710006042038 10             97
220710006042038 25             97
220710006042038 50             112
220710006042038 100            116
220710006042038 500            122
220710006042040 10             93
220710006042040 25             93
220710006042040 50             114
220710006042040 100            117
220710006042040 500            123
220710006042045 10             872
220710006042045 25             872
220710006042045 50             995
220710006042045 100            1034
220710006042045 500            1064
220710006042046 10             2353
220710006042046 25             2353
220710006042046 50             2436
220710006042046 100            2488
220710006042046 500            2554
220710006042050 10             783
220710006042050 25             783
220710006042050 50             845
220710006042050 100            860
220710006042050 500            876
220710006043004 10             331
220710006043004 25             331
220710006043004 50             368
220710006043004 100            373
220710006043005 10             131
220710006043005 25             131
220710006043005 100            133
220710006043005 50             133
220710006043006 10             132
220710006043006 25             132
220710006043006 50             135
220710006043006 100            136
220710006043007 10             1416
220710006043007 25             1416
220710006043007 50             1483
220710006043007 100            1507
220710006043009 10             484
220710006043009 25             484
220710006043009 50             493
220710006043009 100            496
220710006043011 10             154
220710006043011 25             154
220710006043011 50             163
220710006043011 100            164
220710006043019 10             1161
220710006043019 25             1161
220710006043019 50             1210
220710006043019 100            1234
